year,exam,grade_bucket,human_pct,human_mean_source,pooled_ensemble_pct,students,item_count,multimodal_share,associated_image_share,option_image_share,model_pct__anthropic-claude-sonnet-4.5,model_pct__openai-gpt-5,model_pct__qwen-qwen3-vl-235b-a22b-thinking,model_pct__x-ai-grok-4-fast,model_pct__ensemble
2017,5-6,Grade 5-6,41.28946779882238,reported,73.85416666666667,363672,24,0.625,0.5833333333333334,0.25,62.083333333333336,87.08333333333333,78.125,68.125,73.85416666666667
2018,5-6,Grade 5-6,49.33564108646443,reported,75.83333333333333,362546,24,0.7083333333333334,0.625,0.2916666666666667,60.416666666666664,87.5,88.54166666666667,66.875,75.83333333333333
2019,5-6,Grade 5-6,46.48907737788319,reported,72.29166666666667,387880,24,0.625,0.4583333333333333,0.3333333333333333,65.625,78.125,76.04166666666667,69.375,72.29166666666667
2022,5-6,Grade 5-6,40.91611052517809,reported,68.07291666666667,280654,24,0.7083333333333334,0.7083333333333334,0.16666666666666666,63.541666666666664,76.875,67.70833333333333,64.16666666666667,68.07291666666667
2023,5-6,Grade 5-6,41.59431093917349,reported,71.82291666666667,341726,24,0.75,0.7083333333333334,0.25,72.91666666666667,73.95833333333333,71.875,68.54166666666667,71.82291666666667
2024,5-6,Grade 5-6,35.06571679204406,reported,63.75,351871,24,0.7916666666666666,0.7916666666666666,0.20833333333333334,70.41666666666667,74.79166666666667,58.333333333333336,51.458333333333336,63.75
2025,5-6,Grade 5-6,48.11524556927635,reported,72.13541666666667,358256,24,0.8333333333333334,0.75,0.375,65.625,83.125,79.16666666666667,60.625,72.13541666666667
2001,7-8,Grade 7-8,35.745574619736935,histogram,90.08333333333333,27218,30,0.23333333333333334,0.23333333333333334,0.0,84.16666666666667,95.33333333333333,96.66666666666667,84.16666666666667,90.08333333333333
2002,7-8,Grade 7-8,36.470082664721616,histogram,86.45833333333333,39759,30,0.3,0.3,0.0,75.0,94.16666666666667,91.66666666666667,85.0,86.45833333333333
2003,7-8,Grade 7-8,40.51621887344041,histogram,86.95833333333333,57467,30,0.36666666666666664,0.36666666666666664,0.1,86.66666666666667,91.66666666666667,86.66666666666667,82.83333333333333,86.95833333333333
2004,7-8,Grade 7-8,31.568728628680038,histogram,96.5,75939,30,0.3333333333333333,0.3333333333333333,0.0,95.0,98.0,97.5,95.5,96.5
2005,7-8,Grade 7-8,43.92269205189226,histogram,81.0,83198,30,0.4,0.4,0.03333333333333333,79.0,79.66666666666667,86.66666666666667,78.66666666666667,81.0
2006,7-8,Grade 7-8,36.86620784339161,histogram,87.70833333333333,107921,30,0.2,0.2,0.03333333333333333,79.16666666666667,91.5,94.16666666666667,86.0,87.70833333333333
2007,7-8,Grade 7-8,36.0775886026661,histogram,90.33333333333333,130978,30,0.43333333333333335,0.43333333333333335,0.0,87.5,94.66666666666667,93.33333333333333,85.83333333333333,90.33333333333333
2008,7-8,Grade 7-8,40.4155388553101,histogram,83.91666666666667,168261,30,0.26666666666666666,0.26666666666666666,0.0,70.83333333333333,94.16666666666667,84.16666666666667,86.5,83.91666666666667
2009,7-8,Grade 7-8,37.829576883089636,histogram,81.58333333333333,174735,30,0.4666666666666667,0.4666666666666667,0.0,74.16666666666667,81.66666666666667,93.33333333333333,77.16666666666667,81.58333333333333
2010,7-8,Grade 7-8,46.23562117228172,histogram,83.33333333333333,182931,30,0.4,0.36666666666666664,0.06666666666666667,71.66666666666667,92.5,88.33333333333333,80.83333333333333,83.33333333333333
2011,7-8,Grade 7-8,44.900575357673574,histogram,82.625,191562,30,0.36666666666666664,0.36666666666666664,0.03333333333333333,77.5,82.5,82.5,88.0,82.625
2012,7-8,Grade 7-8,46.779109755439194,histogram,84.95833333333333,166707,30,0.4,0.36666666666666664,0.1,75.0,92.0,87.5,85.33333333333333,84.95833333333333
2013,7-8,Grade 7-8,35.91286394350951,reported,83.25,174283,30,0.3,0.26666666666666666,0.06666666666666667,74.16666666666667,88.16666666666667,90.0,80.66666666666667,83.25
