year,exam,grade_bucket,ensemble_pct,reference_pct,model_count,pooled_ensemble_pct,possible_points,lomo_pct__anthropic-claude-sonnet-4.5,lomo_pct__openai-gpt-5,lomo_pct__qwen-qwen3-vl-235b-a22b-thinking,lomo_pct__x-ai-grok-4-fast,human_score,human_max,human_pct,students,human_grades_used,human_mean_source,human_difficulty,ensemble_difficulty,reference_difficulty,lomo_difficulty__anthropic-claude-sonnet-4.5,lomo_difficulty__openai-gpt-5,lomo_difficulty__qwen-qwen3-vl-235b-a22b-thinking,lomo_difficulty__x-ai-grok-4-fast,opposite_difficulty_sign,item_count,multimodal_share,associated_image_share,option_image_share,three_point_share,five_point_share,year_per_decade
2005,5-6,Grade 5-6,87.0,86.5,4,87.0,150.0,86.83333333333333,87.16666666666667,85.16666666666667,88.83333333333333,62.154509161433616,150.0,41.43633944095574,127873,5-6,histogram,0.08992222078027981,-1.3076191365906817,-0.34484220661496845,-0.9950075470695008,-1.530221560874448,-1.2366304073264276,-1.3521605867877533,True,30,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.3333333333333333,0.3333333333333333,-0.7347826086956502
2006,5-6,Grade 5-6,85.20833333333333,88.33333333333333,4,85.20833333333333,150.0,85.27777777777777,84.16666666666667,81.66666666666667,89.72222222222221,61.17791187240079,150.0,40.785274581600525,164954,5-6,histogram,0.23825318079441263,-1.056724709180033,-0.5935808474519951,-0.7886854476369133,-1.1345858224188536,-0.7326924307487728,-1.476613809056969,True,30,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.3333333333333333,0.3333333333333333,-0.6347826086956502
2007,5-6,Grade 5-6,84.0,88.33333333333333,4,84.0,150.0,83.1111111111111,82.55555555555556,84.5,85.83333333333333,59.832906149604355,150.0,39.888604099736234,206371,"5,6",histogram,0.44254003713463386,-0.8875168395309917,-0.5935808474519951,-0.5013082377129519,-0.9221147776927006,-1.1406422213116354,-0.932130961629149,True,30,0.36666666666666664,0.36666666666666664,0.06666666666666667,0.3333333333333333,0.3333333333333333,-0.5347826086956502
2008,5-6,Grade 5-6,83.625,85.66666666666667,4,83.625,150.0,85.94444444444444,82.94444444444444,82.05555555555556,83.55555555555556,68.20108494361136,150.0,45.46738996240758,288356,"5,6",histogram,-0.8284649185664561,-0.8350040523985304,-0.2317791880526839,-0.8771092045365942,-0.9734008919369439,-0.7886855392574006,-0.6132195795642835,False,30,0.5666666666666667,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,-0.4347826086956502
2009,5-6,Grade 5-6,86.625,90.0,4,86.625,150.0,88.0,85.5,86.33333333333333,86.66666666666667,51.33710009276468,150.0,34.22473339517645,311541,"5,6",histogram,1.7329297224807267,-1.2551063494582204,-0.819706884576566,-1.149749121643942,-1.3104239283991173,-1.404609732852311,-1.0488058575065404,True,30,0.4666666666666667,0.4666666666666667,0.0,0.3333333333333333,0.3333333333333333,-0.3347826086956502
2010,5-6,Grade 5-6,67.86458333333333,71.875,4,67.86458333333333,120.0,69.65277777777777,66.52777777777777,66.875,68.40277777777777,55.185861456538085,120.0,45.9882178804484,323191,"5,6",histogram,-0.9471242256617076,1.3719916956963005,1.639413769153136,1.2837463546993428,1.19160578794506,1.397045446454412,1.508318943806261,True,24,0.6666666666666666,0.625,0.20833333333333334,0.3333333333333333,0.3333333333333333,-0.2347826086956502
2011,5-6,Grade 5-6,76.30208333333333,80.20833333333333,4,76.30208333333333,120.0,80.20833333333333,75.0,74.30555555555556,75.69444444444444,45.9044821825478,120.0,38.25373515212316,346879,"5,6",histogram,0.8150093495421629,0.19045398521592213,0.5087835835302851,-0.11629646287892823,0.07430115619546349,0.32717712316454933,0.4874136048790969,False,24,0.4583333333333333,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.3333333333333333,-0.1347826086956502
2012,5-6,Grade 5-6,78.28125,88.125,4,78.28125,120.0,83.19444444444444,75.0,76.59722222222221,78.33333333333333,57.692994492614105,120.0,48.07749541051176,319934,"5,6",histogram,-1.4231206449388418,-0.08669683576095741,-0.5653150928114244,-0.5123612073254131,0.07430115619546349,-0.0027822662612947326,0.117943101267362,False,24,0.5833333333333334,0.4583333333333333,0.25,0.3333333333333333,0.3333333333333333,-0.0347826086956502
2013,5-6,Grade 5-6,86.35416666666666,94.79166666666667,4,86.35416666666667,120.0,87.3611111111111,83.54166666666667,86.31944444444444,88.19444444444444,49.90966434331248,120.0,41.5913869527604,345621,"5,6",reported,0.05459801929202198,-1.2171804476403305,-1.4698192413097064,-1.0650096879484134,-1.0521617102406047,-1.4026099789770035,-1.2627098332817548,True,24,0.5416666666666666,0.5416666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.06521739130434981
2014,5-6,Grade 5-6,82.5,88.54166666666667,4,82.5,120.0,86.3888888888889,80.4861111111111,80.1388888888889,82.9861111111111,46.38337470844976,120.0,38.65281225704146,346424,"5,6",reported,0.7240883157287016,-0.6774656910011466,-0.6218466020925677,-0.9360583758030494,-0.6491993840358304,-0.5127195044648767,-0.5334917340480653,True,24,0.5,0.4583333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16521739130434981
2015,5-6,Grade 5-6,75.57291666666667,89.58333333333333,4,75.57291666666667,120.0,78.54166666666667,70.90277777777779,75.41666666666667,77.43055555555556,54.284914753847694,120.0,45.23742896153975,340074,"5,6",reported,-0.7760733088298816,0.2925621824179288,-0.7631753752954229,0.10476292937027117,0.614637002697316,0.16719681313989654,0.24434090513453374,True,24,0.5416666666666666,0.5,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.2652173913043498
2016,5-6,Grade 5-6,65.05208333333333,64.79166666666667,4,65.05208333333333,120.0,64.86111111111111,65.13888888888889,64.16666666666667,66.04166666666667,57.13625240748636,120.0,47.6135436729053,340085,"5,6",reported,-1.3174193378408894,1.7658375991897601,2.6004494269325593,1.9192921074157934,1.3747704816745012,1.7869974521395013,1.8388978154588647,True,24,0.5833333333333334,0.5416666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3652173913043498
2017,5-6,Grade 5-6,73.85416666666666,87.08333333333333,4,73.85416666666667,120.0,77.77777777777777,69.44444444444444,72.43055555555556,75.76388888888889,49.54736135858686,120.0,41.28946779882238,363672,"5,6",reported,0.12338372828364783,0.5332457901083782,-0.42398631960856736,0.2060818174844896,0.8069599311132313,0.5971438963311501,0.4776906968893146,False,24,0.625,0.5833333333333334,0.25,0.3333333333333333,0.3333333333333333,0.4652173913043498
2018,5-6,Grade 5-6,75.83333333333333,87.5,4,75.83333333333333,120.0,80.97222222222223,71.94444444444444,71.59722222222221,78.81944444444444,59.202769303757314,120.0,49.33564108646443,362546,"5,6",reported,-1.709761757986336,0.2560949691314987,-0.4805178288897106,-0.21761535099314666,0.47726348240023586,0.7171291288496406,0.049882745338883996,True,24,0.7083333333333334,0.625,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.5652173913043498
2019,5-6,Grade 5-6,72.29166666666667,78.125,4,72.29166666666667,120.0,74.5138888888889,70.34722222222223,71.04166666666667,73.2638888888889,55.78689285345983,120.0,46.48907737788319,387880,"5,6",reported,-1.061234162665948,0.7520490698269648,0.7914411299359974,0.6389897939725052,0.687902880189093,0.7971192838619651,0.827715384521483,True,24,0.625,0.4583333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6652173913043498
2022,5-6,Grade 5-6,68.07291666666667,76.875,4,68.07291666666667,120.0,69.58333333333333,65.1388888888889,68.19444444444444,69.375,49.099332630213716,120.0,40.91611052517809,280654,"5,6",reported,0.20844505824509393,1.3428179250671541,0.9610356577794251,1.2929571627097258,1.3747704816744994,1.2070688283001374,1.372198231949305,False,24,0.7083333333333334,0.7083333333333334,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.9652173913043498
2023,5-6,Grade 5-6,71.82291666666667,73.95833333333333,4,71.82291666666667,120.0,71.45833333333333,71.11111111111113,71.80555555555556,72.91666666666667,49.913173127008186,120.0,41.59431093917349,341726,"5,6",reported,0.053931852618319086,0.8176900537425414,1.3567562227474237,1.0442653464293752,0.5871622986378985,0.687132820720017,0.8763299244703964,False,24,0.75,0.7083333333333334,0.25,0.3333333333333333,0.3333333333333333,1.06521739130435
2024,5-6,Grade 5-6,63.75000000000001,74.79166666666667,4,63.75,120.0,61.52777777777778,60.06944444444445,65.55555555555556,67.84722222222223,42.07886015045286,120.0,35.06571679204406,351871,"5,6",reported,1.5413299566189063,1.9481736656219155,1.2436932041851374,2.361410891914195,2.043321613786963,1.5870220646086863,1.5861022077245193,False,24,0.7916666666666666,0.7916666666666666,0.20833333333333334,0.3333333333333333,0.3333333333333333,1.1652173913043498
2025,5-6,Grade 5-6,72.13541666666667,83.125,4,72.13541666666667,120.0,74.30555555555556,68.47222222222223,69.79166666666667,75.97222222222223,57.73829468313161,120.0,48.11524556927635,358256,"5,6",reported,-1.431721197110837,0.7739293977988237,0.11306301856228644,0.6666222180036566,0.9351752167238395,0.9770971326396989,0.44852197291996576,True,24,0.8333333333333334,0.75,0.375,0.3333333333333333,0.3333333333333333,1.2652173913043498
2001,7-8,Grade 7-8,90.08333333333334,95.33333333333333,4,90.08333333333333,150.0,92.05555555555556,88.33333333333333,87.8888888888889,92.05555555555556,53.618361929605406,150.0,35.745574619736935,27218,7-8,histogram,1.1889528483839908,-1.2912971353679086,-0.8691336376331288,-1.1528443812914164,-1.2074324256232485,-0.9778196057580314,-1.5486915426343346,True,30,0.23333333333333334,0.23333333333333334,0.0,0.3333333333333333,0.3333333333333333,-1.1347826086956503
2002,7-8,Grade 7-8,86.45833333333334,94.16666666666667,4,86.45833333333333,150.0,90.27777777777779,83.8888888888889,84.72222222222223,86.94444444444446,54.70512399708242,150.0,36.470082664721616,39759,7-8,histogram,1.0275498138553596,-0.3688103207048655,-0.6434392575380755,-0.6774979025068337,-0.18878241959538525,-0.2457113800876859,-0.3286501039842054,True,30,0.3,0.3,0.0,0.3333333333333333,0.3333333333333333,-1.0347826086956502
2003,7-8,Grade 7-8,86.95833333333333,91.66666666666667,4,86.95833333333333,150.0,87.05555555555556,85.3888888888889,87.05555555555556,88.33333333333333,60.77432831016061,150.0,40.51621887344041,57467,7-8,histogram,0.1261676046113016,-0.49604988134804023,-0.15980844304867173,0.18406759029022723,-0.5325767966297903,-0.7851595463710964,-0.6601831036173893,True,30,0.36666666666666664,0.36666666666666664,0.1,0.3333333333333333,0.3333333333333333,-0.9347826086956502
2004,7-8,Grade 7-8,96.5,98.0,4,96.5,150.0,97.0,96.0,96.16666666666667,96.83333333333333,47.35309294302005,150.0,31.568728628680038,75939,7-8,histogram,2.119454065564521,-2.9242048302886947,-1.385006506421827,-2.474901775411041,-2.96460368602132,-2.8915761956682284,-2.6891650613725,True,30,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-0.8347826086956502
2005,7-8,Grade 7-8,81.00000000000001,79.66666666666667,4,81.0,150.0,81.66666666666667,81.44444444444446,79.11111111111113,81.77777777777779,65.8840380778384,150.0,43.92269205189226,83198,7-8,histogram,-0.6327130066511265,1.0202215496498301,2.161619466500466,1.6249616041059978,0.3714750837199412,1.0515330197843253,0.904652654651255,True,30,0.4,0.4,0.03333333333333333,0.3333333333333333,0.3333333333333333,-0.7347826086956502
2006,7-8,Grade 7-8,87.70833333333334,91.5,4,87.70833333333333,150.0,90.55555555555556,86.44444444444446,85.55555555555556,88.27777777777779,55.29931176508742,150.0,36.86620784339161,107921,7-8,histogram,0.9393026144859107,-0.6869092223128114,-0.1275663887493772,-0.7517707898169234,-0.7745061730614091,-0.43837143947461754,-0.6469217836320648,True,30,0.2,0.2,0.03333333333333333,0.3333333333333333,0.3333333333333333,-0.6347826086956502
2007,7-8,Grade 7-8,90.33333333333333,94.66666666666667,4,90.33333333333333,150.0,91.27777777777777,88.88888888888887,89.33333333333333,91.83333333333333,54.116382903999146,150.0,36.0775886026661,130978,"7,8",histogram,1.1149880874380487,-1.354916915689494,-0.7401654204359562,-0.9448802968231585,-1.334763676376729,-1.3117637086953777,-1.495646262693023,True,30,0.43333333333333335,0.43333333333333335,0.0,0.3333333333333333,0.3333333333333333,-0.5347826086956502
2008,7-8,Grade 7-8,83.91666666666667,94.16666666666667,4,83.91666666666667,150.0,88.27777777777779,80.5,83.83333333333333,83.05555555555556,60.623308282965155,150.0,40.4155388553101,168261,"7,8",histogram,0.14859670054076426,0.2779907792312923,-0.6434392575380755,-0.14273311387417623,0.5879382100008658,-0.04020731674162174,0.5996422949887236,False,30,0.26666666666666666,0.26666666666666666,0.0,0.3333333333333333,0.3333333333333333,-0.4347826086956502
2009,7-8,Grade 7-8,81.58333333333334,81.66666666666667,4,81.58333333333333,150.0,84.05555555555556,81.55555555555556,77.66666666666667,83.05555555555556,56.74436532463445,150.0,37.829576883089636,174735,"7,8",histogram,0.7246870730097863,0.8717753955661234,1.7747148149089433,0.9862147732392134,0.34600883356924705,1.3854771227216782,0.5996422949887236,False,30,0.4666666666666667,0.4666666666666667,0.0,0.3333333333333333,0.3333333333333333,-0.3347826086956502
2010,7-8,Grade 7-8,83.33333333333333,92.5,4,83.33333333333333,150.0,87.22222222222221,80.27777777777777,81.66666666666667,84.16666666666667,69.35343175842257,150.0,46.23562117228172,182931,"7,8",histogram,-1.1479782011023347,0.42643693331500276,-0.32101871454513875,0.13950385790417497,0.6388707103022606,0.4607088376644012,0.33441589528217247,True,30,0.4,0.36666666666666664,0.06666666666666667,0.3333333333333333,0.3333333333333333,-0.2347826086956502
2011,7-8,Grade 7-8,82.625,82.5,4,82.625,150.0,84.33333333333333,82.66666666666667,82.66666666666667,80.83333333333333,67.35086303651036,150.0,44.900575357673574,191562,"7,8",histogram,-0.8505619788752106,0.6066929775595042,1.6135045434124764,0.9119418859291237,0.09134633206227961,0.2295167664000819,1.130095094401826,True,30,0.36666666666666664,0.36666666666666664,0.03333333333333333,0.3333333333333333,0.3333333333333333,-0.1347826086956502
2012,7-8,Grade 7-8,84.95833333333333,92.0,4,84.95833333333333,150.0,88.27777777777777,82.6111111111111,84.1111111111111,84.83333333333333,70.16866463315878,150.0,46.779109755439194,166707,"7,8",histogram,-1.2690544364326655,0.01290836122467315,-0.22429255164725798,-0.14273311387417242,0.10407945713763156,-0.10442733653726453,0.1752800554582445,True,30,0.4,0.36666666666666664,0.1,0.3333333333333333,0.3333333333333333,-0.0347826086956502
